Recency,Frequency,Monetary,Cluster
114,10,69.64999999999999,0
24,47,168.76,0
127,24,124.50999999999999,0
129,31,86.94,0
33,74,192.26,0
4,45,107.42,0
21,128,696.66,0
154,21,66.62,2
106,33,86.91,0
2,20,38.69,0
334,9,20.200000000000003,2
321,51,144.52,2
148,43,111.41,2
10,38,167.98,0
16,130,582.23,0
10,56,284.53,0
18,36,148.12,0
29,5,26.54,0
10,13,50.25,0
0,232,741.49,0
7,38,428.14,0
324,4,21.75,2
358,2,8.06,2
57,33,119.6,0
6,168,571.84,0
150,102,2524.18,0
9,94,301.0,0
329,10,37.9,2
4,42,122.99000000000001,0
11,90,287.73,0
24,45,316.27,0
41,167,1084.8700000000001,0
51,56,215.13,0
0,52,189.17,0
14,646,2061.71,0
3,524,1968.41,0
3,362,1018.24,0
7,105,266.28,0
27,157,482.15,0
371,7,22.81,2
113,171,705.33,0
25,72,205.34,0
205,16,88.42999999999999,2
27,32,161.15,0
120,41,225.87,0
69,37,144.36,0
6,27,129.21,0
20,43,210.67,0
7,270,738.13,0
79,53,163.81,0
19,12,65.3,0
63,22,58.35,0
6,90,645.7,0
14,348,984.25,0
291,33,106.81,2
29,174,724.47,0
2,256,964.82,0
96,79,227.77,0
22,142,939.13,0
0,38,95.13,0
8,259,619.5,0
105,20,69.34,0
3,69,183.94,0
150,56,306.85,2
70,19,51.72,0
4,42,149.5,0
2,359,987.0600000000001,0
31,164,509.48,0
84,57,251.27,0
3,69,220.96,0
4,53,197.22,0
370,24,98.5,2
27,124,261.23,0
10,141,466.43,0
70,46,214.79,0
113,26,96.24000000000001,0
23,277,930.75,0
179,12,42.27,2
233,22,74.2,2
352,4,4.74,2
314,43,232.89999999999998,2
332,4,22.32,2
371,11,43.45,2
77,38,152.32,0
63,27,56.0,0
133,131,402.12,0
51,229,25108.89,1
1,103,449.89,0
0,4459,14698.31,1
3,231,1171.5,0
128,15,69.3,0
80,53,121.59,0
3,230,536.39,0
235,65,132.5,2
249,6,40.199999999999996,2
86,4,2.9699999999999998,0
15,370,8012.79,0
116,97,164.96,0
51,95,305.47,0
7,69,188.79,0
137,18,31.89,0
316,45,242.44,2
3,310,951.95,0
238,32,142.6,2
210,12,31.5,2
59,55,203.54,0
16,67,257.57,0
19,51,193.47,0
20,159,586.61,0
20,30,88.15,0
4,107,405.36,0
1,86,1649.24,0
8,57,161.13,0
2,15,69.67999999999999,0
9,20,79.96000000000001,0
64,4,91.85,0
191,21,82.92,2
373,2,16.85,2
256,25,87.74,2
334,24,93.84,2
52,45,93.47,0
18,14,107.73,0
359,17,75.57,2
9,8,8.379999999999999,0
183,26,64.25,2
36,28,113.29,0
167,26,115.18,2
260,31,127.8,2
44,15,31.03,0
101,2,41.79,0
147,47,253.87,2
95,29,256.15,0
280,4,48.29,2
177,16,101.77,2
2,59,112.38,0
213,6,14.99,2
70,47,138.81,0
74,5,38.25,0
59,25,63.39,0
2,94,180.37,0
5,25,71.7,0
2,56,173.04,0
321,12,154.0,2
37,39,107.52,0
261,9,27.6,2
31,27,79.08,0
144,24,130.59,2
282,18,88.09,2
58,174,749.12,0
172,12,80.95,2
33,120,276.64,0
2,316,609.1,0
143,116,237.56,0
4,433,1040.24,0
69,34,147.23000000000002,0
65,108,368.41,0
28,52,136.82,0
266,27,75.34,2
21,84,114.74,0
30,48,140.37,0
96,47,93.96,0
289,20,70.9,2
107,84,357.54,0
78,114,332.31,0
372,3,4.65,2
7,314,806.73,0
210,46,190.55,2
51,6,25.37,0
137,3,1.97,0
25,96,296.74,0
282,26,114.81,2
25,547,732.49,0
185,107,279.45,2
365,2,14.899999999999999,2
83,11,23.22,0
326,66,164.71,2
281,4,16.15,2
142,2,0.34,2
57,85,191.63,0
3,154,292.43,0
17,49,98.03,0
44,12,24.22,0
275,7,230.8,2
8,13,83.69,0
24,42,248.93,0
87,7,111.89,0
62,72,272.06,0
67,86,322.07,0
213,7,41.53,2
23,79,144.91,0
185,3,1.1,2
30,31,68.53,0
41,24,79.4,0
204,4,10.8,2
8,125,189.19,0
264,10,56.19,2
17,71,220.43,0
11,63,160.77,0
58,4,2.09,0
39,96,642.61,0
22,75,156.96,0
2,24,65.26,0
4,50,146.24,0
148,22,149.35,2
138,105,433.35,0
127,2,9.9,0
7,52,144.12,0
16,27,106.1,0
3,741,1772.04,0
160,28,45.58,2
63,28,81.01,0
87,31,99.4,0
4,45,103.96,0
34,84,163.18,0
121,9,69.7,0
77,27,80.77,0
21,102,175.53,0
23,107,281.83,0
1,130,266.42,0
16,63,128.61,0
14,120,284.6,0
25,9,11.44,0
63,47,112.96000000000001,0
45,100,405.9,0
130,70,302.04,0
300,1,3.75,2
35,30,95.66,0
287,23,113.85,2
143,103,438.96999999999997,0
15,118,347.7,0
30,219,625.61,0
1,23,31.95,0
8,65,204.63,0
5,80,325.9,0
9,17,113.0,0
0,183,310.94,0
305,19,82.94,2
3,244,691.23,0
6,16,47.77,0
7,96,314.96,0
88,108,397.26,0
9,10,34.230000000000004,0
2,33,189.59,0
111,5,16.45,0
6,129,277.84,0
3,308,714.85,0
197,8,61.6,2
211,22,33.76,2
155,9,38.07,2
155,24,396.03000000000003,2
29,20,32.47,0
239,34,59.28,2
18,4,15.4,0
0,78,145.84,0
73,30,184.8,0
291,83,355.39,2
2,68,213.11,0
30,13,26.65,0
22,31,71.51,0
22,27,57.72,0
3,73,304.81,0
77,5,7.99,0
21,67,211.21,0
195,28,71.38,2
106,31,93.39,0
3,340,821.29,0
317,7,19.75,2
105,6,13.5,0
11,409,822.5,0
173,29,157.9,2
55,4,21.18,0
322,15,25.13,2
371,3,12.65,2
8,106,357.65,0
0,222,701.75,0
2,124,649.72,0
52,175,885.4300000000001,0
72,47,149.14,0
6,1,4.25,0
15,459,1003.49,0
3,134,509.5,0
63,40,182.1,0
0,43,36.69,0
113,26,10.4,0
22,47,47.27,0
30,10,73.88,0
10,92,304.76,0
38,75,278.01,0
356,11,29.05,2
54,37,87.77,0
57,30,55.34,0
137,48,183.43,0
79,28,77.23,0
8,43,120.57000000000001,0
253,14,88.78999999999999,2
290,33,107.54,2
98,18,28.27,0
30,35,215.0,0
31,196,798.3,0
13,136,251.28,0
63,14,55.07,0
8,422,1300.17,0
211,18,59.29,2
63,78,196.1,0
24,8,46.6,0
249,8,41.75,2
253,15,59.74,2
71,10,34.03,0
190,11,75.00999999999999,2
12,68,238.35999999999999,0
372,14,73.11,2
23,49,172.27,0
81,15,57.9,0
9,2,3.44,0
0,469,809.14,0
191,9,18.72,2
266,7,23.450000000000003,2
129,22,44.87,0
0,111,195.4,0
0,380,1510.2,0
3,6,25.0,0
178,6,3.4699999999999998,2
0,1061,2489.93,0
125,75,220.02,0
3,18,61.32,0
157,29,100.88,2
2,1853,5155.75,0
8,161,722.1899999999999,0
20,24,25.41,0
70,26,127.69999999999999,0
266,170,583.51,2
20,30,38.31,0
70,6,4.16,0
32,435,1882.21,0
0,605,1713.6,0
98,1,0.72,0
233,8,23.74,2
0,310,797.54,0
39,8,31.74,0
2,20,43.43,0
128,2,8.5,0
43,60,107.76,0
372,10,17.52,2
2,50,135.24,0
30,146,695.73,0
0,280,1033.48,0
8,132,343.84,0
116,31,151.6,0
21,76,185.01,0
19,82,291.41,0
238,1,2.55,2
268,53,88.64,2
93,55,145.01,0
89,222,698.32,0
4,142,315.92,0
77,15,43.28,0
93,2,4.5,0
22,46,154.10999999999999,0
261,3,14.8,2
273,7,37.4,2
72,105,328.79,0
196,1,0.72,2
49,139,410.31,0
10,688,1360.71,0
21,63,177.76,0
15,174,607.41,0
107,45,134.39000000000001,0
84,136,300.28,0
18,23,68.93,0
332,3,18.65,2
39,7,311.51,0
25,17,34.46,0
9,4,19.8,0
28,340,1253.52,0
13,86,247.84,0
202,75,424.76,2
5,15,19.17,0
143,1,611.86,2
32,85,247.52,0
48,89,166.45,0
94,79,158.84,0
8,121,326.24,0
21,4,12.1,0
312,8,38.9,2
121,82,118.5,0
45,42,33.64,0
281,42,99.3,2
18,65,191.64,0
35,128,408.65,0
63,13,49.17,0
26,30,47.28,0
7,48,227.65,0
3,43,113.81,0
15,293,1024.6,0
45,67,188.63,0
64,17,59.75,0
25,265,542.34,0
44,11,7.54,0
7,94,191.07,0
14,181,336.29,0
267,1,5.95,2
39,84,268.89,0
336,37,139.32,2
10,2,19.15,0
18,29,11.36,0
94,63,165.60999999999999,0
60,25,77.44,0
135,3,7.95,0
10,110,275.86,0
9,229,554.88,0
3,120,316.25,0
18,46,155.28,0
9,57,131.33,0
14,8,18.330000000000002,0
58,149,343.18,0
29,329,761.1,0
93,22,33.26,0
9,55,78.07,0
8,142,538.07,0
56,92,246.39,0
267,5,7.24,2
121,7,16.150000000000002,0
126,5,4.6499999999999995,0
77,21,95.17,0
239,66,330.95,2
199,5,9.8,2
59,109,250.79,0
2,34,87.43,0
272,16,43.39,2
201,9,23.4,2
80,2,3.58,0
225,10,40.6,2
3,588,1418.99,0
12,202,649.1,0
73,43,31.73,0
211,59,1087.33,2
24,39,157.78,0
10,32,137.38,0
261,22,33.41,2
95,67,221.99,0
111,13,27.04,0
202,57,194.86,2
92,27,101.19,0
50,16,99.7,0
17,138,254.24,0
17,25,52.69,0
124,26,69.87,0
91,23,78.91,0
156,36,41.11,2
3,14,67.42999999999999,0
13,1,0.0,0
11,36,128.32,0
61,81,191.69,0
60,8,39.74,0
268,9,49.4,2
262,11,34.02,2
0,1667,3746.93,0
52,90,214.66,0
10,202,376.87,0
2,224,786.27,0
17,440,691.15,0
0,319,830.9,0
365,1,2.95,2
36,92,112.56,0
30,15,80.09,0
112,16,20.77,0
63,30,152.93,0
15,8,11.6,0
40,46,88.64,0
63,11,30.630000000000003,0
121,82,210.58,0
17,40,186.07,0
59,7,9.15,0
322,14,57.589999999999996,2
22,187,399.21999999999997,0
155,42,111.9,2
38,31,115.72999999999999,0
189,54,199.2,2
359,11,38.15,2
136,5,12.04,0
7,59,175.7,0
0,2,7.5,0
267,5,23.75,2
164,22,54.33,2
103,81,213.65,0
154,1,12.75,2
350,21,66.4,2
3,81,272.33,0
119,1,3.75,0
22,57,180.93,0
6,107,173.14,0
8,77,258.81,0
3,26,107.14,0
21,78,166.32,0
1,74,254.87,0
36,87,379.92,0
63,135,557.79,0
0,20,57.14,0
4,500,1689.42,0
69,109,199.94,0
71,11,23.37,0
16,25,69.26,0
2,21,95.55,0
31,77,228.07,0
81,12,36.34,0
38,109,300.25,0
315,17,31.919999999999998,2
31,19,41.81,0
92,53,107.08,0
13,21,63.74,0
81,265,769.95,0
76,51,127.62,0
153,24,165.33,2
200,54,282.72,2
44,134,369.87,0
260,42,175.65,2
172,22,141.32999999999998,2
67,116,588.1,0
276,22,124.8,2
69,8,60.16,0
63,14,30.88,0
10,16,64.42,0
15,43,401.03,0
65,16,103.97,0
7,27,95.26,0
70,51,94.28,0
121,32,87.23,0
79,42,181.28,0
256,89,262.02,2
268,29,145.19,2
58,24,137.55,0
2,169,586.13,0
17,60,230.24,0
66,20,51.96,0
8,132,413.51,0
49,1,0.39,0
256,29,142.61,2
353,19,105.94,2
365,44,166.19,2
89,23,138.47,0
60,158,516.67,0
80,38,121.84,0
98,53,285.13,0
25,97,169.78,0
20,173,530.92,0
280,15,41.28,2
30,155,496.98,0
329,35,158.66,2
120,36,209.58,0
10,51,196.09,0
74,13,39.79,0
203,1,14.95,2
1,164,269.1,0
184,21,57.199999999999996,2
21,47,188.98,0
72,39,156.95,0
191,26,89.17,2
126,39,77.21000000000001,0
17,3,8.75,0
0,11,31.91,0
73,27,146.551,0
1,501,1614.5,0
8,30,74.44,0
106,18,58.75,0
133,24,44.17,0
43,19,103.65,0
4,28,177.98,0
11,314,925.9399999999999,0
63,16,16.19,0
134,10,31.89,0
39,103,217.46,0
50,128,389.84000000000003,0
107,78,205.46,0
0,159,307.85,0
18,29,47.85,0
9,71,133.43,0
10,67,81.79,0
18,54,94.13,0
66,46,147.97,0
73,10,16.52,0
4,103,304.36,0
1,12,69.96,0
13,167,816.46,0
254,54,93.17,2
91,13,25.04,0
22,62,195.23,0
16,198,635.09,0
23,19,36.57,0
26,71,109.35,0
25,434,896.82,0
258,2,590.0,2
165,17,77.28999999999999,2
24,53,253.81,0
17,65,228.95,0
6,394,967.51,0
28,17,18.02,0
38,27,42.35,0
182,10,38.75,2
57,41,131.43,0
99,18,58.26,0
10,98,267.5,0
1,306,1266.62,0
98,10,16.5,0
0,254,624.17,0
60,22,79.14,0
235,62,146.45,2
190,86,248.42000000000002,2
178,61,655.84,2
37,81,210.44,0
197,16,79.65,2
45,112,258.88,0
231,11,26.83,2
65,10,10.559999999999999,0
240,8,60.0,2
232,23,55.78,2
77,69,200.79,0
57,34,151.34,0
16,427,1505.79,0
104,14,19.84,0
51,86,290.0,0
135,50,225.08,0
274,8,103.17,2
311,18,65.97,2
7,52,137.26,0
10,36,111.74,0
282,20,63.25,2
17,45,95.83,0
22,67,238.26,0
242,53,204.01999999999998,2
16,18,32.36,0
70,17,37.08,0
63,22,81.44,0
67,227,770.46,0
311,29,80.09,2
2,162,543.38,0
243,12,62.31,2
8,44,60.03,0
0,117,277.58,0
260,15,62.03,2
126,10,36.85,0
73,4,16.700000000000003,0
72,59,127.76,0
20,44,129.7,0
59,143,417.65000000000003,0
85,36,97.53999999999999,0
49,9,62.7,0
58,95,467.25,0
0,418,769.06,0
29,5,16.35,0
32,177,1268.23,0
40,27,93.56,0
14,6,23.41,0
33,218,611.36,0
78,15,83.98,0
204,22,99.87,2
33,66,146.73,0
182,75,146.08,2
1,342,971.14,0
0,178,575.6800000000001,0
42,25,186.91,0
85,38,159.47,0
39,78,244.78,0
11,97,213.07,0
95,123,348.2,0
25,52,182.22,0
318,4,30.6,2
65,121,507.97,0
73,135,322.7,0
27,34,50.23,0
5,169,376.12,0
6,32,95.57000000000001,0
215,14,49.65,2
81,82,314.65000000000003,0
83,49,417.13,0
143,83,1947.13,0
18,38,65.31,0
40,169,317.01,0
172,43,130.6,2
16,79,240.39000000000001,0
242,27,56.77,2
12,340,587.14,0
205,33,148.58,2
49,25,88.08,0
22,46,98.8,0
9,130,416.85,0
24,85,259.15,0
14,23,97.99,0
308,10,44.800000000000004,2
155,53,106.64,2
306,24,99.94999999999999,2
31,11,94.53999999999999,0
15,180,249.35,0
14,21,140.73,0
10,89,166.39000000000001,0
64,58,230.79999999999998,0
35,16,100.16,0
107,128,559.66,0
52,26,41.48,0
5,146,348.12,0
46,36,131.01,0
0,263,727.13,0
311,19,58.22,2
44,99,184.38,0
64,23,47.4,0
25,27,57.02,0
28,40,93.77,0
39,97,307.51,0
11,217,640.4,0
88,74,176.45,0
23,195,733.75,0
312,24,80.86,2
39,44,122.75,0
173,13,13.46,2
116,19,21.45,0
30,83,315.55,0
252,19,40.67,2
58,94,287.26,0
22,59,137.13,0
4,80,168.67,0
99,12,74.72,0
24,146,467.2,0
32,186,612.25,0
67,62,149.16,0
36,64,239.73,0
51,99,235.85,0
15,8,23.94,0
73,40,57.72,0
215,57,190.85999999999999,2
30,28,67.05,0
8,148,469.57,0
119,5,16.849999999999998,0
9,79,266.46,0
256,23,73.4,2
16,98,316.14,0
34,6,36.35,0
45,63,196.77,0
42,166,419.43,0
113,56,186.46,0
164,49,84.23,2
10,16,47.89,0
9,112,500.15,0
196,107,410.38,2
85,57,190.87,0
178,13,58.5,2
59,12,44.9,0
148,83,206.65,2
2,494,1458.1200000000001,0
50,9,24.76,0
74,25,46.92,0
300,16,138.41,2
18,60,205.14,0
150,25,47.57,2
151,16,6.3,2
0,215,478.76,0
17,57,165.44,0
186,3,21.25,2
285,30,53.24,2
2,39,27.330000000000002,0
182,8,9.3,2
62,6,10.2,0
58,9,53.75,0
24,55,159.17,0
324,4,22.1,2
3,584,1163.42,0
30,90,238.22,0
38,12,16.72,0
154,14,88.29,2
25,194,308.17,0
317,1,9.95,2
4,135,450.31,0
7,28,213.04,0
302,20,55.480000000000004,2
266,48,214.24,2
270,49,98.33,2
3,345,1242.25,0
31,8,9.33,0
218,13,49.14,2
246,10,12.35,2
280,107,249.4,2
268,21,29.81,2
31,103,221.18,0
245,12,66.35,2
14,60,195.96,0
116,43,136.7,0
35,28,79.83,0
119,86,251.42,0
216,6,31.7,2
49,118,495.55,0
38,42,45.199999999999996,0
28,20,58.82,0
36,63,343.46,0
135,43,139.24,0
218,38,163.0,2
27,33,52.14,0
24,207,848.24,0
4,193,420.89,0
199,30,115.46000000000001,2
17,3,16.45,0
240,23,36.71,2
71,35,179.77,0
16,315,1306.34,0
2,42,47.379999999999995,0
94,63,115.35,0
150,26,16.99,2
373,1,9.95,2
95,28,111.9,0
53,24,120.49,0
287,9,31.770000000000003,2
123,75,227.88,0
287,35,62.8,2
151,12,28.049999999999997,2
3,322,999.58,0
1,143,390.52,0
11,117,384.69,0
32,25,84.07,0
53,57,113.12,0
49,70,206.46,0
203,14,17.64,2
62,17,55.97,0
70,207,566.2,0
1,399,1495.38,0
1,143,523.44,0
63,120,315.33,0
33,173,429.31,0
81,22,72.4,0
0,219,520.74,0
102,9,29.7,0
6,57,147.24,0
250,17,77.47,2
12,113,400.34,0
9,31,81.78,0
366,7,13.25,2
75,31,76.81,0
3,45,34.73,0
42,17,21.29,0
65,13,46.1,0
0,438,906.21,0
116,39,83.08,0
309,33,84.28,2
66,23,90.95,0
137,66,186.68,0
254,17,49.69,2
30,135,419.74,0
51,13,7.71,0
63,10,52.33,0
366,7,36.05,2
5,76,285.24,0
304,12,85.3,2
28,36,1344.23,0
183,14,564.0,2
41,36,129.1,0
39,71,308.95,0
55,58,180.68,0
21,177,455.92,0
23,33,141.55,0
28,24,77.27,0
301,36,72.13,2
144,59,194.21,2
5,96,171.89,0
18,40,156.82,0
32,46,126.63,0
157,12,72.14999999999999,2
57,92,347.46,0
21,15,28.57,0
358,1,8.5,2
15,72,288.31,0
17,4,10.6,0
158,28,141.15,2
24,55,176.03,0
211,18,37.11,2
5,165,522.93,0
252,1,0.85,2
58,206,833.12,0
10,20,49.21,0
64,9,17.59,0
24,58,207.42,0
91,5,2.31,0
51,101,305.42,0
87,94,227.82,0
95,81,181.35,0
8,24,108.71,0
8,114,528.0699999999999,0
168,17,22.99,2
56,11,47.69,0
325,28,80.86,2
0,77,270.06,0
17,142,245.89000000000001,0
244,22,53.8,2
57,30,117.07,0
73,7,23.630000000000003,0
30,60,239.74,0
6,33,61.19,0
122,304,895.44,0
1,118,398.33,0
22,338,1268.26,0
119,24,109.97,0
357,18,99.1,2
53,104,203.68,0
63,7,35.8,0
85,3,3.53,0
54,35,166.76,0
20,165,443.57,0
3,180,483.22,0
2,66,239.77,0
0,155,534.57,0
6,60,212.35,0
188,28,110.9,2
70,16,60.88,0
203,19,73.23,2
119,39,162.38,0
92,15,57.5,0
0,114,394.57,0
26,27,29.95,0
297,21,130.2,2
21,30,78.76,0
20,119,351.32,0
49,17,33.11,0
325,12,31.37,2
15,19,57.59,0
182,43,133.89,2
71,149,557.33,0
36,26,34.42,0
79,126,360.74,0
56,148,353.6,0
3,34,96.72,0
49,18,36.4,0
49,30,65.56,0
52,33,87.96,0
351,7,34.92,2
53,20,59.49,0
1,137,386.21999999999997,0
35,45,304.09,0
22,11,71.87,0
74,21,56.61,0
10,27,155.72,0
168,10,57.599999999999994,2
57,17,27.89,0
85,59,120.32000000000001,0
294,16,97.65,2
108,23,79.59,0
263,31,98.8,2
170,27,42.64,2
168,9,15.25,2
34,7,7.09,0
22,46,56.21,0
16,49,152.95,0
21,47,181.68,0
78,11,18.47,0
64,5,14.65,0
360,3,11.85,2
2,160,233.06,0
10,36,168.89,0
175,39,136.08,2
210,138,546.541,2
6,20,45.86,0
1,30,181.86,0
153,33,99.53,2
4,147,513.1,0
371,5,38.95,2
78,90,198.6,0
20,12,25.26,0
21,11,77.21,0
307,35,114.38000000000001,2
145,2,7.2,2
6,626,1849.9,0
8,158,354.1,0
70,15,38.19,0
286,11,41.32,2
48,28,61.51,0
30,331,717.57,0
206,10,35.68,2
14,15,18.16,0
72,54,98.94,0
59,11,43.06,0
38,115,258.46,0
29,112,684.1999999999999,0
26,17,34.8,0
3,353,840.09,0
16,13,24.2,0
19,239,719.25,0
65,41,107.64,0
212,16,42.56,2
11,84,129.07,0
29,5,5.85,0
31,125,704.02,0
3,148,555.58,0
14,87,192.42,0
9,212,489.63,0
205,16,29.89,2
45,40,142.16,0
133,47,113.34,0
42,171,486.33,0
9,84,185.24,0
115,30,71.12,0
197,44,122.31,2
277,11,31.15,2
109,34,46.98,0
76,39,22.15,0
52,20,62.14,0
153,162,648.63,0
46,68,177.08,0
16,39,111.11,0
154,22,99.05,2
224,28,36.27,2
6,31,89.0,0
121,16,59.22,0
60,6,12.86,0
62,15,65.49,0
17,242,983.98,0
6,258,1185.22,0
1,152,359.26,0
21,89,210.57,0
28,66,185.48,0
284,38,166.13,2
175,28,96.9,2
77,93,179.38,0
32,6,12.2,0
40,235,887.75,0
265,21,39.29,2
26,206,531.48,0
108,6,25.4,0
283,14,7.57,2
8,34,164.03,0
276,88,193.62,2
16,495,1271.26,0
31,54,83.09,0
0,215,1008.5,0
19,56,161.4,0
123,4,5.51,0
64,6,9.08,0
105,10,44.53,0
0,1110,3111.21,0
23,290,550.67,0
266,8,18.5,2
4,203,291.44,0
9,111,313.65,0
28,79,125.26,0
266,7,30.55,2
63,52,148.85,0
319,24,98.2,2
3,332,791.18,0
20,14,33.59,0
4,43,77.97,0
128,44,88.62,0
40,42,111.97,0
101,65,174.23,0
124,12,39.28,0
32,4,3.8,0
266,153,483.62,2
364,29,75.04,2
3,177,502.06,0
1,449,1087.08,0
2,69,107.83,0
9,590,3376.44,0
56,13,28.65,0
324,1,1.06,2
7,217,593.62,0
11,100,151.63,0
3,5128,41376.33,1
36,21,35.8,0
15,252,659.59,0
137,25,85.15,0
73,35,60.55,0
4,63,149.38,0
154,21,166.60999999999999,2
84,76,221.79,0
51,124,330.02,0
30,35,108.92,0
22,14,38.55,0
3,157,372.77,0
13,11,41.05,0
22,173,461.93,0
3,40,107.86,0
273,15,94.69,2
19,72,234.12,0
143,3,3.75,2
353,1,9.95,2
3,161,394.73,0
83,5,1.79,0
10,166,526.29,0
7,16,61.86,0
122,44,174.22,0
60,46,87.17,0
1,52,142.19,0
318,66,189.03,2
1,201,346.5,0
129,30,111.36,0
1,134,331.31,0
1,46,107.0,0
45,26,37.9,0
3,67,127.88,0
2,46,158.18,0
372,22,38.95,2
133,7,38.4,0
46,12,59.400000000000006,0
8,245,653.19,0
48,6,24.0,0
233,3,22.65,2
212,40,123.94,2
35,26,43.74,0
74,50,56.88,0
238,52,410.44,2
265,6,32.7,2
9,1415,6535.34,0
